recall,precision,threshold
0.000000,1.000000,0.863896
0.027778,1.000000,0.863896
0.055556,1.000000,0.847072
0.055556,0.666667,0.712148
0.055556,0.500000,0.678454
0.055556,0.500000,0.245118
0.083333,0.500000,0.053204
0.083333,0.428571,0.053077
0.083333,0.375000,0.050758
0.083333,0.333333,0.000000
0.083333,0.300000,0.000000
0.083333,0.272727,0.000000
0.083333,0.250000,0.000000
0.083333,0.230769,0.000000
0.083333,0.214286,0.000000
