frame,src,conf,score,orange,shape,maha,misses,eff_min_conf,eff_imgsz,eff_chi2,nb_boxes_full,nb_players
0,FULL,0.8876872658729553,1.257859495999409,0.3878887070376432,0.6156437517753205,,0,0.05,1280,9.21,1,0
1,FULL,0.8848478198051453,1.2783538873667544,0.427986906710311,0.648092072728531,,0,0.05,1280,9.21,1,0
2,FULL,0.8846562504768372,1.2825741293026238,0.427986906710311,0.6692034339896403,,0,0.05,1280,9.21,1,0
3,FULL,0.8833848237991333,1.2756865783990001,0.4083469721767594,0.6692034339896403,,0,0.05,1280,9.21,1,0
4,FULL,0.8818915486335754,1.275670414647555,0.4083469721767594,0.6692034339896403,,0,0.05,1280,9.21,1,0
5,FULL,0.8806133270263672,1.2756563861067638,0.4083469721767594,0.6692034339896403,,0,0.05,1280,9.21,1,0
6,FULL,0.8787997961044312,1.2756361729998842,0.4083469721767594,0.6692034339896403,,0,0.05,1280,9.21,2,0
7,FULL,0.8787140846252441,1.275635208602321,0.4083469721767594,0.6692034339896403,,0,0.05,1280,9.21,2,0
8,FULL,0.8773363828659058,1.2961815780498684,0.4787234042553192,0.6488546008652428,,0,0.05,1280,9.21,1,0
9,FULL,0.8776731491088867,1.2972026087799127,0.49724192277383766,0.6215331629980164,,0,0.05,1280,9.21,1,0
10,FULL,0.8796460032463074,1.2965817930334786,0.49645390070921985,0.619697023668628,,0,0.05,1280,9.21,1,0
11,FULL,0.8802538514137268,1.2965885514258704,0.49645390070921985,0.619697023668628,,0,0.05,1280,9.21,1,0
12,FULL,0.8768689632415771,1.2990326590905874,0.5035460992907802,0.619697023668628,,0,0.05,1280,9.21,1,0
13,FULL,0.879336416721344,1.2982331814281036,0.5011820330969268,0.619697023668628,,0,0.05,1280,9.21,1,0
14,FULL,0.8704546689987183,1.2997028444971792,0.5043341213553979,0.6220486523151585,,0,0.05,1280,9.21,1,0
15,FULL,0.8667392730712891,1.2988291548390947,0.5019700551615445,0.6220486523151585,,0,0.05,1280,9.21,1,0
16,FULL,0.8754082322120667,1.2985365442786765,0.50402576489533,0.6164613889710103,,0,0.05,1280,9.21,1,0
17,FULL,0.8754528164863586,1.2985370628543678,0.50402576489533,0.6164613889710103,,0,0.05,1280,9.21,1,0
18,FULL,0.8784266114234924,1.2950253278905173,0.48857368006304175,0.6257734945445906,,0,0.05,1280,9.21,1,0
19,FULL,0.8788434267044067,1.2950300234716552,0.48857368006304175,0.6257734945445906,,0,0.05,1280,9.21,1,0
20,FULL,0.8787157535552979,1.2950285872596397,0.48857368006304175,0.6257734945445906,,0,0.05,1280,9.21,1,0
21,FULL,0.8762326240539551,1.2944486718532238,0.48699763593380613,0.6257734945445906,,0,0.05,1280,9.21,1,0
22,FULL,0.8780657052993774,1.294619211828121,0.47754137115839246,0.6430698625541519,,0,0.05,1280,9.21,1,0
23,FULL,0.8780088424682617,1.2946185674155697,0.47754137115839246,0.6430698625541519,,0,0.05,1280,9.21,1,0
24,FULL,0.8805846571922302,1.2938047068476164,0.48148148148148145,0.6319612299549348,,0,0.05,1280,9.21,3,0
25,FULL,0.8805044293403625,1.2938038201079205,0.48148148148148145,0.6319612299549348,,0,0.05,1280,9.21,3,0
26,FULL,0.8704960346221924,1.2937464783987151,0.48305752561071713,0.6294983367740227,,0,0.05,1280,9.21,2,0
27,FULL,0.8706517815589905,1.2942857735452655,0.487785657998424,0.6239110734298745,,0,0.05,1280,9.21,2,0
28,FULL,0.8748151659965515,1.28125129908102,0.46504559270516715,0.5982850650789406,,0,0.05,1280,9.21,1,0
29,FULL,0.874903678894043,1.281252334488963,0.46504559270516715,0.5982850650789406,,0,0.05,1280,9.21,1,0
30,FULL,0.8536068797111511,1.2691598832067135,0.4285714285714286,0.6030398074396128,,0,0.05,1280,9.21,1,0
31,FULL,0.8519240617752075,1.2687852493400755,0.4285714285714286,0.6012893307355488,,0,0.05,1280,9.21,1,0
32,FULL,0.8509409427642822,1.2953143772672167,0.46875,0.6636951070665207,,0,0.05,1280,9.21,1,0
33,FULL,0.8510981202125549,1.2953167094184679,0.46875,0.6636951070665207,,0,0.05,1280,9.21,1,0
34,FULL,0.8469885587692261,1.2783428982287954,0.4293272864701436,0.6481267701099344,,0,0.05,1280,9.21,1,0
35,FULL,0.847214937210083,1.2783463909565862,0.4293272864701436,0.6481267701099344,,0,0.05,1280,9.21,1,0
36,FULL,0.8441193103790283,1.2864575562394887,0.4474678760393046,0.6571788218524516,,0,0.05,1280,9.21,1,0
37,FULL,0.8441845774650574,1.286458593277009,0.4474678760393046,0.6571788218524516,,0,0.05,1280,9.21,1,0
38,FULL,0.8430361151695251,1.4079801814431663,0.9861111111111112,0.32225283607630084,,0,0.05,1280,9.21,3,0
39,FULL,0.8424340486526489,1.4079704790472505,0.9861111111111112,0.32225283607630084,,0,0.05,1280,9.21,3,0
40,FULL,0.820346474647522,1.43583684780318,0.9880952380952381,0.4601092195909728,,0,0.05,1280,9.21,3,0
41,FULL,0.8209485411643982,1.4346516206680744,0.9846743295019158,0.4601092195909728,,0,0.05,1280,9.21,3,0
42,FULL,0.8695218563079834,1.2785800018257123,0.44759653270291566,0.6157824954497354,,0,0.05,1280,9.21,1,0
43,FULL,0.868855893611908,1.2785717581073488,0.44759653270291566,0.6157824954497354,,0,0.05,1280,9.21,1,0
44,FULL,0.4357755482196808,1.3497401170614867,0.9880952380952381,0.45179040048761593,,0,0.05,1280,9.21,3,0
45,FULL,0.39195960760116577,1.3082847975706084,0.9880952380952381,0.45179040048761593,,0,0.05,1280,9.21,2,0
46,FULL,0.8741776943206787,1.4422926250389565,1.0,0.46735890257837615,,0,0.05,1280,9.21,4,0
47,FULL,0.8743537068367004,1.4421596076272605,1.0,0.4666834595453283,,0,0.05,1280,9.21,4,0
48,FULL,0.7401297688484192,1.3933769158608118,0.9348659003831418,0.35332159546893105,,0,0.05,1280,9.21,3,0
49,FULL,0.7382878065109253,1.4129937736653555,0.95,0.4253366971920257,,0,0.05,1280,9.21,3,0
50,FULL,0.8048828840255737,1.3801874933975653,0.8658854166666666,0.3974133159725983,,0,0.05,1280,9.21,2,0
51,FULL,0.7652750015258789,1.3795836108981592,0.896505376344086,0.3465116198515632,,0,0.05,1280,9.21,2,0
52,FULL,0.6732048988342285,1.3280283687819046,0.66,0.5287993123757679,,0,0.05,1280,9.21,2,0
53,FULL,0.6964173913002014,1.330193000102849,0.6610526315789473,0.5287993123757679,,0,0.05,1280,9.21,2,0
54,FULL,0.7777169346809387,1.2814580891740857,0.4405043341213554,0.6518473920426103,,0,0.05,1280,9.21,2,0
55,FULL,0.7769142985343933,1.2814332822489498,0.4405043341213554,0.6518473920426103,,0,0.05,1280,9.21,2,0
56,FULL,0.5009467601776123,1.3046880428646184,0.8962703962703963,0.18996695370103642,,0,0.05,1280,9.21,2,0
57,FULL,0.4998434782028198,1.3041913948262276,0.8962703962703963,0.18996695370103642,,0,0.05,1280,9.21,2,0
58,FULL,0.842349112033844,1.3708110126146056,0.853448275862069,0.36862233289601365,,0,0.05,1280,9.21,3,0
59,FULL,0.8427267074584961,1.369610213037502,0.85,0.36862233289601365,,0,0.05,1280,9.21,3,0
60,FULL,0.8628584742546082,1.4375135900822689,0.9400921658986175,0.5490080966702369,,0,0.05,1280,9.21,2,0
61,FULL,0.8627638220787048,1.4475647145672443,0.9339477726574501,0.6100226503671822,,0,0.05,1280,9.21,2,0
62,FULL,0.8701386451721191,1.4141631006695203,0.9824046920821113,0.3577457791622271,,0,0.05,1280,9.21,2,0
63,FULL,0.870270311832428,1.4164484124979053,0.9809384164222873,0.3717302535897207,,0,0.05,1280,9.21,2,0
64,FULL,0.8255426287651062,1.452520119561979,0.9897360703812317,0.5401441143553536,,0,0.05,1280,9.21,2,0
65,FULL,0.8183745741844177,1.4554180592456882,0.9897360703812317,0.5553443788261301,,0,0.05,1280,9.21,2,0
66,FULL,0.8307058215141296,1.443018499773858,0.9932065217391304,0.4860814392196374,,0,0.05,1280,9.21,3,0
67,FULL,0.8366284966468811,1.443122986953091,0.9932065217391304,0.4860814392196374,,0,0.05,1280,9.21,3,0
68,FULL,0.7850857973098755,1.4308936958368152,1.0,0.418814346672797,,0,0.05,1280,9.21,2,0
69,FULL,0.7810347080230713,1.430775430960616,1.0,0.418814346672797,,0,0.05,1280,9.21,2,0
70,FULL,0.5435470342636108,1.4257722416766065,1.0,0.534886865941151,,0,0.05,1280,9.21,2,0
71,FULL,0.5230467319488525,1.4189422283153519,1.0,0.534886865941151,,0,0.05,1280,9.21,2,0
72,FULL,0.3586244583129883,1.2837936141577602,0.9979757085020243,0.5220751507986126,,0,0.05,1280,9.21,2,0
73,FULL,0.3449375033378601,1.2636087605154476,0.9979757085020243,0.5220751507986126,,0,0.05,1280,9.21,1,0
74,FULL,0.0825895443558693,0.41611282019920276,0.41471571906354515,0.17424225304682817,,0,0.05,1280,9.21,1,0
75,FULL,0.0848594456911087,0.42023140079775473,0.41471571906354515,0.17424225304682817,,0,0.05,1280,9.21,1,0
