frame,src,conf,score,orange,shape,maha,misses,eff_min_conf,eff_imgsz,eff_chi2,nb_boxes_full,nb_players
94,FULL,0.7729039788246155,1.4753660744553485,1.0,0.6430287075658971,,0,0.03,960,9.21,1,0
95,FULL,0.7907154560089111,1.4707019068212546,1.0,0.6170722209589364,,0,0.03,960,9.21,1,0
96,FULL,0.8470715284347534,1.4674447298141837,1.0,0.5949522742084463,,0,0.03,960,9.21,1,0
97,FULL,0.7960067391395569,1.4681591756894656,0.9971014492753624,0.6087338431623827,,0,0.03,960,9.21,1,0
98,FULL,0.6751809120178223,1.4281653943048482,1.0,0.4336375439454099,,0,0.03,960,9.21,1,0
99,FULL,0.7587206959724426,1.439190831769399,1.0,0.4646116503384779,,0,0.03,960,9.21,1,0
100,FULL,0.142543762922287,0.8069221574112145,1.0,0.48368703962275844,,0,0.03,960,9.21,2,0
101,,,,,,,0,0.03,960,9.21,0,0
102,,,,,,,0,0.03,960,9.21,0,0
103,,,,,,,0,0.03,960,9.21,0,0
104,,,,,,,0,0.03,960,9.21,0,0
105,,,,,,,0,0.03,960,9.21,0,0
106,,,,,,,0,0.03,960,9.21,0,0
107,,,,,,,0,0.03,960,9.21,0,0
108,,,,,,,0,0.03,960,9.21,0,0
109,,,,,,,0,0.03,960,9.21,0,0
110,,,,,,,0,0.03,960,9.21,0,0
111,,,,,,,0,0.03,960,9.21,0,0
112,,,,,,,0,0.03,960,9.21,0,0
113,,,,,,,0,0.03,960,9.21,0,0
114,,,,,,,0,0.03,960,9.21,0,0
115,,,,,,,0,0.03,960,9.21,0,0
116,,,,,,,0,0.03,960,9.21,0,0
117,,,,,,,0,0.03,960,9.21,0,0
118,,,,,,,0,0.03,960,9.21,0,0
119,,,,,,,0,0.03,960,9.21,0,0
120,,,,,,,0,0.03,960,9.21,0,0
121,,,,,,,0,0.03,960,9.21,0,0
122,,,,,,,0,0.03,960,9.21,0,0
123,,,,,,,0,0.03,960,9.21,0,0
124,,,,,,,0,0.03,960,9.21,0,0
125,FULL,0.21061263978481293,0.9212365876632598,0.8911070780399274,0.4142119228748445,,0,0.03,960,9.21,1,0
126,FULL,0.07412032783031464,0.6020214769462606,0.8736842105263157,0.3752545191940892,,0,0.03,960,9.21,1,0
127,FULL,0.032833490520715714,0.553876080118466,0.9087301587301587,0.3880910991675841,,0,0.03,960,9.21,1,0
128,,,,,,,0,0.03,960,9.21,0,0
129,,,,,,,0,0.03,960,9.21,0,0
130,FULL,0.08320917189121246,0.6566476036658347,0.9814814814814815,0.37947902381202303,,0,0.03,960,9.21,1,0
131,,,,,,,0,0.03,960,9.21,0,0
132,,,,,,,0,0.03,960,9.21,0,0
133,,,,,,,0,0.03,960,9.21,0,0
134,FULL,0.12253468483686447,0.7306112863951348,1.0,0.32568944815535394,,0,0.03,960,9.21,1,0
135,FULL,0.40263256430625916,1.2929699848191611,1.0,0.29718236613426374,,0,0.03,960,9.21,1,0
136,FULL,0.7668741941452026,1.4845070000822813,1.0,0.6897366449081561,,0,0.03,960,9.21,1,0
137,FULL,0.545759379863739,1.275252468941258,0.6322115384615385,0.4226081584812232,,0,0.03,960,9.21,2,0
138,FULL,0.7812905311584473,1.4246594985673855,1.0,0.38819663447302893,,0,0.03,960,9.21,1,0
139,FULL,0.8453289270401001,1.427019543414164,1.0,0.39296198795693715,,0,0.03,960,9.21,1,0
140,FULL,0.8581790924072266,1.4289240152533025,1.0,0.4015373232802654,,0,0.03,960,9.21,1,0
141,FULL,0.8411946296691895,1.4317164390785981,1.0,0.41677786907378284,,0,0.03,960,9.21,1,0
142,FULL,0.8381421566009521,1.428903077560576,1.0,0.4029646602902602,,0,0.03,960,9.21,1,0
143,FULL,0.8388326168060303,1.4359882951512573,1.0,0.43833270788986844,,0,0.03,960,9.21,1,0
144,FULL,0.8638961911201477,1.4308370347628458,1.0,0.4107185494384716,,0,0.03,960,9.21,1,0
145,FULL,0.8276903033256531,1.422488177505145,1.0,0.371819320701369,,0,0.03,960,9.21,1,0
146,FULL,0.41373005509376526,1.3704279934703223,1.0,0.6297595453509253,,0,0.03,960,9.21,1,0
147,,,,,,,0,0.03,960,9.21,0,0
148,,,,,,,0,0.03,960,9.21,0,0
149,,,,,,,0,0.03,960,9.21,0,0
150,TILE,0.15106326341629028,0.8526096176866156,1.0,0.6128350313403164,,0,0.03,960,9.21,0,0
151,TILE,0.3331489861011505,1.2633971751953816,1.0,0.6115510335661494,,0,0.03,960,9.21,0,0
152,FULL,0.371109277009964,1.3229044230525004,1.0,0.6296322761582743,,0,0.03,960,9.21,2,0
153,FULL,0.12955623865127563,0.7983022781385479,1.0,0.5873659548042693,,0,0.03,960,9.21,1,0
154,,,,,,,0,0.03,960,9.21,0,0
155,FULL,0.12794432044029236,0.8304232502664386,1.0,0.7657643286750357,,0,0.03,960,9.21,1,0
156,,,,,,,0,0.03,960,9.21,0,0
157,FULL,0.625371515750885,1.4350900685807093,1.0,0.4955113736492834,,0,0.03,960,9.21,2,0
158,FULL,0.3522157371044159,1.2536155274743825,1.0,0.4137979134340737,,0,0.03,960,9.21,2,0
159,FULL,0.8335623741149902,1.4153266871755636,1.0,0.3354779640155462,,0,0.03,960,9.21,1,0
160,FULL,0.8463618755340576,1.4183285714875116,1.0,0.3494264383743375,,0,0.03,960,9.21,1,0
161,FULL,0.7353211641311646,1.417575833043556,1.0,0.3614323203900927,,0,0.03,960,9.21,1,0
162,FULL,0.38830092549324036,1.2828619637627947,1.0,0.3245278514617927,,0,0.03,960,9.21,1,0
163,FULL,0.8207160830497742,1.4336260889086678,0.9950980392156863,0.43676336729504556,,0,0.03,960,9.21,1,0
164,,,,,,,0,0.03,960,9.21,0,0
165,,,,,,,0,0.03,960,9.21,0,0
166,,,,,,,0,0.03,960,9.21,0,0
167,,,,,,,0,0.03,960,9.21,0,0
168,,,,,,,0,0.03,960,9.21,0,0
169,,,,,,,0,0.03,960,9.21,0,0
170,TILE,0.0426204614341259,0.5632056302452495,0.8192307692307692,0.5239942929246549,,0,0.03,960,9.21,0,0
171,,,,,,,0,0.03,960,9.21,0,0
172,,,,,,,0,0.03,960,9.21,0,0
173,,,,,,,0,0.03,960,9.21,0,0
174,TILE,0.08735540509223938,0.6424049047631636,0.8365384615384615,0.5239942929246549,,0,0.03,960,9.21,0,0
175,TILE,0.13360314071178436,0.674954170467219,0.8275862068965517,0.22725155788421658,,0,0.03,960,9.21,0,0
176,TILE,0.16456280648708344,0.7439798493435045,0.8177339901477833,0.22725155788421658,,0,0.03,960,9.21,0,0
177,TILE,0.7886022329330444,1.4468982817730685,1.0,0.4983429528973109,,0,0.03,960,9.21,0,0
178,FULL,0.05250177159905434,0.34676358538107466,0.016304347826086956,0.7743527570453749,,0,0.03,960,9.21,1,0
179,FULL,0.07854686677455902,0.36980842152691185,0.012096774193548387,0.6833714222792671,,0,0.03,960,9.21,1,0
180,FULL,0.053077176213264465,0.35636893935615044,0.1157495256166983,0.6439832951908274,,0,0.03,960,9.21,1,0
181,,,,,,,0,0.03,960,9.21,0,0
182,,,,,,,0,0.03,960,9.21,0,0
183,FULL,0.0646442323923111,0.5685323048553608,0.8571428571428572,0.3162148047131985,,0,0.03,960,9.21,1,0
184,,,,,,,0,0.03,960,9.21,0,0
185,,,,,,,0,0.03,960,9.21,0,0
186,,,,,,,0,0.03,960,9.21,0,0
187,,,,,,,0,0.03,960,9.21,0,0
188,,,,,,,0,0.03,960,9.21,0,0
189,,,,,,,0,0.03,960,9.21,0,0
190,,,,,,,0,0.03,960,9.21,0,0
191,,,,,,,0,0.03,960,9.21,0,0
192,FULL,0.24511821568012238,1.0232571182197852,0.9661654135338347,0.370894789759403,,0,0.03,960,9.21,1,0
193,,,,,,,0,0.03,960,9.21,0,0
194,,,,,,,0,0.03,960,9.21,0,0
195,,,,,,,0,0.03,960,9.21,0,0
196,,,,,,,0,0.03,960,9.21,0,0
197,,,,,,,0,0.03,960,9.21,0,0
198,,,,,,,0,0.03,960,9.21,0,0
199,,,,,,,0,0.03,960,9.21,0,0
200,,,,,,,0,0.03,960,9.21,0,0
201,,,,,,,0,0.03,960,9.21,0,0
202,,,,,,,0,0.03,960,9.21,0,0
203,,,,,,,0,0.03,960,9.21,0,0
204,,,,,,,0,0.03,960,9.21,0,0
205,,,,,,,0,0.03,960,9.21,0,0
206,,,,,,,0,0.03,960,9.21,0,0
207,,,,,,,0,0.03,960,9.21,0,0
208,,,,,,,0,0.03,960,9.21,0,0
209,,,,,,,0,0.03,960,9.21,0,0
210,,,,,,,0,0.03,960,9.21,0,0
211,,,,,,,0,0.03,960,9.21,0,0
212,FULL,0.03600383922457695,0.6186804003183057,0.9568627450980393,0.6065407642317151,,0,0.03,960,9.21,1,0
213,FULL,0.7158038020133972,1.392662980774772,1.0,0.24191524601150896,,0,0.03,960,9.21,1,0
214,FULL,0.8346821069717407,1.4585812273472822,1.0,0.551652354457243,,0,0.03,960,9.21,1,0
215,FULL,0.6142472624778748,1.4229066037766522,0.9971139971139971,0.4477594587259633,,0,0.03,960,9.21,1,0
216,FULL,0.0532044991850853,0.6669318470113218,1.0,0.648391026730195,,0,0.03,960,9.21,1,0
217,TILE,0.805726945400238,1.4612292172382255,1.0,0.5678226727614158,,0,0.03,960,9.21,0,0
218,FULL,0.04141799733042717,0.5911053003062757,0.9879227053140097,0.3767977528461512,,0,0.03,960,9.21,1,0
219,FULL,0.05708802863955498,0.6928036654545637,0.9967105263157895,0.7535955056923024,,0,0.03,960,9.21,1,0
220,FULL,0.8336766362190247,1.4577970041175794,0.9891067538126362,0.5668826472268899,,0,0.03,960,9.21,1,0
221,TILE,0.5189201235771179,1.3290431468357566,0.8809523809523809,0.3014197066715143,,0,0.03,960,9.21,0,0
222,FULL,0.0637558251619339,0.6451556962917476,1.0,0.45655977757056504,,0,0.03,960,9.21,2,0
223,,,,,,,0,0.03,960,9.21,0,0
224,,,,,,,0,0.03,960,9.21,0,0
225,TILE,0.1265029013156891,0.6699030628514754,0.5733333333333333,0.7256578414762986,,0,0.03,960,9.21,0,0
226,FULL,0.7734729647636414,1.312178126094205,0.5517241379310345,0.6114801158968841,,0,0.03,960,9.21,1,0
227,,,,,,,0,0.03,960,9.21,0,0
228,FULL,0.050757769495248795,0.6051166621656785,0.7956730769230769,0.715363271094527,,0,0.03,960,9.21,1,0
229,,,,,,,0,0.03,960,9.21,0,0
230,,,,,,,0,0.03,960,9.21,0,0
231,FULL,0.8469100594520569,1.3734708211361661,0.6361655773420479,0.761805440546364,,0,0.03,960,9.21,1,0
232,FULL,0.7390181422233582,1.3393699568032296,0.628125,0.6203332148969859,,0,0.03,960,9.21,1,0
233,,,,,,,0,0.03,960,9.21,0,0
234,,,,,,,0,0.03,960,9.21,0,0
235,,,,,,,0,0.03,960,9.21,0,0
236,FULL,0.3703508973121643,1.260686040706586,0.7130434782608696,0.8256417590284939,,0,0.03,960,9.21,1,0
237,TILE,0.04465204104781151,0.5810061240733991,0.6524064171122995,0.8903980135213789,,0,0.03,960,9.21,0,0
238,,,,,,,0,0.03,960,9.21,0,0
239,,,,,,,0,0.03,960,9.21,0,0
