frame,src,conf,score,orange,shape,maha,misses,eff_min_conf,eff_imgsz,eff_chi2,nb_boxes_full,nb_players
204,FULL,0.8111270666122437,1.6587513136626346,0.9423076923076923,0.3379345001349616,,0,0.03,960,9.21,1,0
206,FULL,0.7621244788169861,1.6612923974413583,0.8934081346423562,0.4330305291626093,,0,0.03,960,9.21,1,0
208,FULL,0.8010576963424683,1.6128320972681511,0.8405797101449276,0.3181448774071041,,0,0.03,960,9.21,2,0
210,FULL,0.8488422632217407,1.6361730873818463,0.8559782608695652,0.38241658706797194,,0,0.03,960,9.21,1,0
212,FULL,0.8210361003875732,1.6205327700802208,0.832258064516129,0.3601397109383128,,0,0.03,960,9.21,2,0
214,FULL,0.8062245845794678,1.6110263341393305,0.793939393939394,0.38495631425579613,,0,0.03,960,9.21,4,0
216,FULL,0.8350943326950073,1.6707978217627777,0.9572649572649573,0.35992924386019753,,0,0.03,960,9.21,6,0
218,FULL,0.882597029209137,1.6497859052642794,0.9877450980392157,0.22395488507414033,,0,0.03,960,9.21,1,0
220,FULL,0.8645279407501221,1.6759088784842286,0.9777777777777779,0.34542366268361807,,0,0.03,960,9.21,2,0
222,FULL,0.874333918094635,1.674627009919411,0.975051975051975,0.34407600100616254,,0,0.03,960,9.21,2,0
224,FULL,0.8497675657272339,1.717343663698884,0.9851851851851852,0.5003007760389209,,0,0.03,960,9.21,2,0
226,FULL,0.8529213666915894,1.627702463739788,0.956766917293233,0.18698130549326764,,0,0.03,960,9.21,2,0
228,FULL,0.8597398400306702,1.66780014089796,0.9459459459459459,0.364224909550702,,0,0.03,960,9.21,2,0
276,FULL,0.04187323898077011,0.1895486269177392,0.0,0.697432059740681,,0,0.03,960,9.21,1,0
278,FULL,0.03597724437713623,0.7357406654425849,0.8668582375478927,0.7763057952372509,,0,0.03,960,9.21,1,0
280,FULL,0.7944350242614746,1.6986059939140072,0.7374358974358974,0.8270725634435946,,0,0.03,960,9.21,2,0
282,FULL,0.22026176750659943,0.8189979491055588,0.0,0.6336790105308134,,0,0.03,960,9.21,2,0
284,FULL,0.6966308951377869,1.3562224409166375,0.0,0.6581086172132041,,0,0.03,960,9.21,3,0
286,FULL,0.5832182168960571,1.4119744813128898,0.2869269949066214,0.4905890752772885,,0,0.03,960,9.21,3,0
288,FULL,0.6640422344207764,1.3542438599628446,0.0,0.662869767625821,,0,0.03,960,9.21,3,0
290,FULL,0.25108426809310913,1.117335340642135,0.4424552429667519,0.7613937845519129,,0,0.03,960,9.21,4,0
292,FULL,0.4648047685623169,1.4973384854106393,0.6766666666666667,0.4240125934107069,,0,0.03,960,9.21,5,0
294,FULL,0.5862536430358887,1.3626146303164943,0.1253968253968254,0.5486177018431034,,0,0.03,960,9.21,7,0
296,FULL,0.7907849550247192,1.5187383228984348,0.626358695652174,0.2857905366959543,,0,0.03,960,9.21,8,0
298,FULL,0.3839879333972931,1.5520952945094013,0.9215686274509803,0.5917860820773866,,0,0.03,960,9.21,5,0
300,FULL,0.0654694065451622,0.697588603643752,0.6354679802955665,0.7817391485369902,,0,0.03,960,9.21,1,0
302,FULL,0.0858401507139206,0.49759173430824066,0.21954887218045113,0.4773591576706814,,0,0.03,960,9.21,2,0
304,FULL,0.459841251373291,1.3687828085572442,0.24949290060851925,0.6082977524584676,,0,0.03,960,9.21,2,0
306,FULL,0.04486794397234917,0.5814286864495808,0.6394557823129251,0.46308651779437027,,0,0.03,960,9.21,5,0
308,FULL,0.4018772542476654,1.2703586015020565,0.20689655172413793,0.5131805901129741,,0,0.03,960,9.21,1,0
310,FULL,0.49205344915390015,1.3558573096436528,0.09166666666666666,0.7222717955733988,,0,0.03,960,9.21,4,0
312,FULL,0.7222788333892822,1.607635911510709,0.6165413533834587,0.6698215703811429,,0,0.03,960,9.21,4,0
314,FULL,0.7469919919967651,1.5102777000118273,0.48214285714285715,0.48981297971738624,,0,0.03,960,9.21,4,0
316,FULL,0.6497443318367004,1.386939867235785,0.1796875,0.5131303115800077,,0,0.03,960,9.21,1,0
318,FULL,0.4242803454399109,1.2179473755619363,0.14310344827586205,0.3034897502166629,,0,0.03,960,9.21,1,0
320,FULL,0.4744918644428253,1.3138424649322054,0.18421052631578946,0.4504295057738038,,0,0.03,960,9.21,1,0
322,FULL,0.756677508354187,1.5828695038768006,0.6259398496240601,0.5482537634120724,,0,0.03,960,9.21,4,0
324,FULL,0.8225900530815125,1.6534016577907613,0.6413255360623781,0.7969592417230651,,0,0.03,960,9.21,1,0
